,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
45,"
            
        Front-End/Web Developer
      
          ","
            Neota
          ","
            Sydney, New South Wales, Australia
          ",Be an early applicant,2023-02-12,"
            Not Applicable
          ","
            Engineering
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",69958.0,87329.0,770.0,,4.0
46,"
            
        AWS Architect
      
          ","
            cFocus Software Incorporated
          ","
            United States
          ",Be an early applicant,2023-03-16,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",75715.0,96237.0,4609.0,82.0,1.0
47,Lead Data Scientist,Diverse Lynx,"Thousand Oaks, CA",Be an early applicant,2023-03-08,Mid-Senior level,Engineering and Information Technology,Full-time,Software Development,158527.0,196493.0,1233.0,475.0,1.0
48,Volunteer: Impact Report Graphic Design for Australian Friends of Shaare Zedek Inc.,Catchafire,"St Kilda, Victoria, Australia",Be an early applicant,2023-03-21,Mid-Senior level,Other,Full-time,Staffing and Recruiting,164666.0,175037.0,1762.0,,5.0
49,Senior Product Manager,Seedrs,"London, England, United Kingdom",Be an early applicant,2023-02-02,Mid-Senior level,Product Management and Marketing,Full-time,Internet Publishing,91322.0,114844.0,1658.0,359.0,
50,?????????????(?????IoT),,"Aichi, Japan",Be an early applicant,2023-04-04,Entry level,Engineering,Full-time,"IT Services and IT Consulting and Technology, Information and Internet",47537.0,55894.0,2335.0,305.0,3.0
51,Graphic Designer,Laricy,"Chicago, IL",Actively Hiring,2023-01-31,Entry level,"Design, Art/Creative, and Information Technology",Full-time,Furniture and Home Furnishings Manufacturing,55260.0,67536.0,1495.0,291.0,14.0
52,"
            
        Data Analyst I
      
          ","
            Signant Health
          ","
            Greater Hyderabad Area
          ","
         Actively Hiring
      ",2023-03-15,"
            Not Applicable
          ","
            Information Technology
          ","
          Full-time
        ",,82589.0,106663.0,4130.0,,14.0
53,Content Writer,FYERS,"Bangalore Urban, Karnataka, India",Actively Hiring,2023-01-23,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Financial Services,,199815.0,2989.0,,11.0
54,Full stack developer_Radhika,CodersBrain,"Bengaluru North, Karnataka, India",Be an early applicant,2023-03-19,Associate,Engineering and Information Technology,Full-time,IT Services and IT Consulting,40754.0,77845.0,4953.0,34.0,0.0
55,Graphic Designer,The Lee Group,"Virginia Beach, VA","Actively Hiring
           +4�benefits",2023-04-17,Entry level,"Design, Art/Creative, and Information Technology",Full-time,Furniture and Home Furnishings Manufacturing,165383.0,207947.0,946.0,,
56,Blog Content Editor - Remote,Designit,"Dublin, County Dublin, Ireland",Actively Hiring,2023-03-14,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",114726.0,124582.0,,447.0,13.0
57,Principal AI Scientist - Multimodal Translational Medicine,Roche,"South San Francisco, CA",Actively Hiring,2023-03-31,Associate,Information Technology,Full-time,"Medical Equipment Manufacturing, Biotechnology Research, and Pharmaceutical Manufacturing",,81951.0,3416.0,488.0,8.0
58,"Engineering Manager, Blockchain (India)",BitGo,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-10,Mid-Senior level,Engineering and Information Technology,Full-time,Financial Services,87159.0,127059.0,3429.0,269.0,10.0
59,We need Content Writers,Mukul Consultants India  Ltd,"Bengaluru, Karnataka, India",Be an early applicant,2023-04-18,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Staffing and Recruiting,27221.0,,1192.0,200.0,1.0
60,"
            
        Product Owner, Identity Risk Solutions
      
          ","
            Texas Capital Bank
          ","
            Dallas, TX
          ","
         Be an early applicant
      ",2023-03-15,"
            Director
          ","
            Product Management and Marketing
          ","
          Full-time
        ","
          Banking
          ",63139.0,84555.0,1684.0,320.0,0.0
61,"
            
        Executive Assistant
      
          ","
            Merilytics
          ","
            Hyderabad, Telangana, India
          ","
         Actively Hiring
      ",2023-02-17,"
            Mid-Senior level
          ","
            Consulting, Information Technology, and Project Management
          ","
          Full-time
        ","
          Business Consulting and Services
          ",196092.0,216627.0,343.0,,
62,Full Stack Laravel Developer,Toolyt,"Bengaluru, Karnataka, India",Be an early applicant,2023-01-08,Entry level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,68870.0,78142.0,1627.0,326.0,
63,"
            
        Software Tester
      
          ","
            Expertrons
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-01-23,"
            Associate
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",125267.0,159390.0,3912.0,200.0,
64,"
            
        Software Engineer
      
          ","
            Siveals
          ","
            Hyderabad, Telangana, India
          ","
         Be an early applicant
      ",2023-02-13,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",59439.0,105787.0,4216.0,145.0,11.0
65,"
            
        Senior Software Engineer, Data Safety
      
          ","
            Cash App
          ","
            Melbourne, Victoria, Australia
          ","
         Be an early applicant
      ",2023-03-20,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Government Administration
          ",,148674.0,2671.0,,13.0
66,Interesting Job Opportunity: Full Stack Developer - React.js/Node.js,Justdial,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-06,Entry level,Engineering and Information Technology,Full-time,"Software Development, Technology, Information and Internet, and Technology, Information and Media",,94987.0,3185.0,465.0,0.0
67,Product Manager,KodyPay,"London, England, United Kingdom",Actively Hiring,2023-03-28,Mid-Senior level,Product Management,Full-time,"Technology, Information and Internet",163440.0,198060.0,4875.0,423.0,13.0
68,"
            
        Data Analyst-MySQL
      
          ","
            Ampstek
          ","
            Hyderabad, Telangana, India
          ","
         Be an early applicant
      ",2023-02-22,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ",,153356.0,193974.0,4584.0,374.0,12.0
69,"
            
        事务文员
      
          ","
            科锐国际
          ","
            Shenzhen, Guangdong, China
          ","
         Be an early applicant
      ",2023-02-24,"
            Mid-Senior level
          ","
            Other
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Business Consulting and Services
          ",86387.0,129275.0,3394.0,,2.0
70,"
            
        Personal Assistant To Chief Executive Officer
      
          ","
            BrandOpus
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-03-01,"
            Associate
          ","
            Administrative
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",120893.0,,266.0,47.0,10.0
71,Senior Data Scientist,Recruiting from Scratch,"San Rafael, CA",Be an early applicant,2023-01-17,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,25499.0,64764.0,3679.0,205.0,8.0
72,"
            
        Project Manager
      
          ","
            CODAMETRIX
          ","
            Boston, MA
          ",Be an early applicant,2023-02-17,"
            Mid-Senior level
          ","
            Project Management
          ","
          Full-time
        ","
          Renewable Energy Semiconductor Manufacturing and Utilities
          ",156355.0,170795.0,3654.0,324.0,13.0
73,FT Virtual Assistant (Work From Home),Growth Cave,"Avon, IN",Be an early applicant,2023-04-08,Entry level,Administrative,Full-time,Advertising Services,54576.0,62033.0,1098.0,53.0,
74,Software Engineer - Scientific Applications,DUG,"Perth, Western Australia, Australia",Be an early applicant,2023-04-03,Entry level,Engineering and Information Technology,Contract,Staffing and Recruiting,155551.0,,4469.0,423.0,6.0
75,"
            
        Data Scientist
      
          ","
            CRMNEXT
          ","
            Mumbai, Maharashtra, India
          ","
         Be an early applicant
      ",2023-01-23,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Software Development, Technology, Information and Internet, and Financial Services
          ",148671.0,189991.0,3557.0,409.0,
76,Java full stack Developer / Senior Java full stack Developer,JobCourier,"Zurich, Zurich, Switzerland",Be an early applicant,2023-04-02,Mid-Senior level,Information Technology and Engineering,Full-time,IT Services and IT Consulting,30993.0,80883.0,148.0,317.0,4.0
77,Full Stack Developer,Saransh Inc,"Wilmington, DE",Actively Hiring,2023-02-21,Mid-Senior level,Engineering,Full-time,"Technology, Information and Internet",70297.0,117294.0,2981.0,397.0,4.0
78,Applications Engineer,ANCA CNC Machines,"Bayswater, Victoria, Australia",Actively Hiring,2023-04-28,Not Applicable,Information Technology,Full-time,IT Services and IT Consulting,145859.0,170565.0,,426.0,9.0
79,Embedded Engineer,Insight Global,"Austin, Texas Metropolitan Area",Actively Hiring,2023-03-23,Mid-Senior level,Engineering,Contract,Telecommunications,156011.0,193545.0,1246.0,67.0,9.0
80,"
            
        DevOps Engineer
      
          ","
            DataWeave
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-21,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Software Development
          ",45243.0,58929.0,3433.0,143.0,5.0
81,Communications Content Manager,Morgan McKinley,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-16,Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting,105441.0,125893.0,,50.0,11.0
82,Entry level,Curinos,"New York, NY",Actively Hiring,2023-04-06,,"Marketing, Public Relations, and Writing/Editing",Full-time,Marketing Services,187442.0,201957.0,2313.0,417.0,7.0
83,"
            
        Software Developer
      
          ","
            Ciena
          ","
            Kurla, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-13,"
            Associate
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Technology, Information and Internet
          ",,,3693.0,425.0,14.0
84,"
            
        Azure cloud engineer_Deepanshi_TTP
      
          ","
            CodersBrain
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-24,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",174631.0,199952.0,4467.0,73.0,
85,"
            
        Regional Sales Manager
      
          ","
            Synergyze Financial
          ","
            Allen County, IN
          ","
         Actively Hiring
      ",2023-02-23,"
            Not Applicable
          ","
            Finance and Sales
          ","
          Full-time
        ","
          Insurance
          ",94035.0,135463.0,,82.0,
86,Content Writer,CBW Staffing Solutions,"Glasgow, Scotland, United Kingdom",Be an early applicant,2023-02-05,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",,174107.0,890.0,346.0,4.0
87,"
            
        Cloud Engineer
      
          ","
            Supersourcing
          ","
            India
          ","
         Actively Hiring
      ",2023-03-24,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Contract
        ","
          Software Development
          ",104145.0,112146.0,,188.0,3.0
88,Senior Research Associate - Assistant Breeder,Corteva Agriscience,"Windfall, IN",Be an early applicant,2023-04-03,Not Applicable,Science,Full-time,Farming,101966.0,141769.0,4127.0,408.0,9.0
89,"
            
        Software Engineer - Backend, India
      
          ","
            Evertz
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-02-11,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Banking, Financial Services, and Accounting
          ",156984.0,170418.0,2129.0,32.0,14.0
90,"
            
        Executive Assistant To Chief Executive Officer
      
          ","
            Jonathan Sanders & Co
          ","
            Soho, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-12,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",152487.0,173469.0,4619.0,485.0,14.0
91,DevOps Developer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-09,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,125243.0,130568.0,,116.0,1.0
92,Embedded Firmware Lead | Firmware Engineer | Embedded Software Engineer,Intellectt Inc,"Austin, TX",Be an early applicant,2023-02-20,Mid-Senior level,Other,Full-time,IT Services and IT Consulting,67396.0,102992.0,2836.0,474.0,13.0
93,"
            
        Product Data Scientist
      
          ","
            PayPal
          ","
            Los Angeles, CA
          ","
         Actively Hiring
      ",2023-03-10,,"
            Engineering and Information Technology
          ","
          Full-time
        ","
          Business Consulting and Services
          ",89860.0,104638.0,1440.0,97.0,10.0
94,"
            
        Data Scientist
      
          ","
            AWM
          ","
            Irvine, CA
          ","
         Actively Hiring
      ",2023-03-19,,"
            Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",165217.0,208564.0,2392.0,378.0,
95,Embedded Engineer,Peritus Inc,"Irving, TX",Be an early applicant,2023-04-13,Contract,,,,196746.0,229274.0,4335.0,283.0,7.0
96,Senior Data Scientist,Recruiting from Scratch,"El Cerrito, CA",Be an early applicant,2023-02-28,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,,70933.0,1881.0,268.0,7.0
97,"
            
        Executive Assistant to CEO
      
          ","
            Holiferm
          ","
            Manchester, England, United Kingdom
          ","
         Be an early applicant
      ",2023-03-03,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Medical Practices
          ",134887.0,,4103.0,383.0,1.0
98,"Senior Executive, Customer Experience Analyst",NielsenIQ,"Pune, Maharashtra, India",Actively Hiring,2023-03-25,Mid-Senior level,Administrative,Full-time,Market Research,186850.0,207550.0,4998.0,183.0,9.0
99,Site Reliability Engineer,IBM,"Bengaluru East, Karnataka, India",Be an early applicant,2023-04-04,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,65739.0,96667.0,748.0,230.0,3.0
100,18_066?????????????????????(???????)<SL>,,"Yokohama, Kanagawa, Japan",Be an early applicant,2023-03-02,Not Applicable,Information Technology,Full-time,IT Services and IT Consulting,129006.0,,1713.0,92.0,9.0
101,"
            
        行政专员
      
          ","
            NebulaMatrix Technology Limited
          ","
            Shenzhen, Guangdong, China
          ","
         Be an early applicant
      ",2023-02-13,"
            Not Applicable
          ","
            Information Technology, Writing/Editing, and Other
          ","
        
          Employment type
        
        
          Part-time
        
      ","
          IT Services and IT Consulting, Online Audio and Video Media, and Translation and Localization
          ",95439.0,136947.0,3713.0,110.0,4.0
102,Software Development Engineer - I / II / III,Trential,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-13,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",131528.0,177458.0,3345.0,110.0,7.0
103,"General Manager, UK",Headout,"London, England, United Kingdom",Be an early applicant,2023-04-17,Executive,Business Development and Sales,Full-time,Public Relations and Communications Services,183453.0,215003.0,2690.0,147.0,11.0
104,"
            
        Civil Engineer
      
          ","
            Meinhardt Australia & New Zealand
          ","
            Brisbane, Queensland, Australia
          ","
         Actively Hiring
      ",2023-03-24,"
            Mid-Senior level
          ","
            Engineering, Consulting, and Design
          ","
          Full-time
        ","
          Construction, Civil Engineering, and Design Services
          ",47355.0,74629.0,4682.0,246.0,10.0
105,"
            
        Software Developer
      
          ","
            Terralogic
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-13,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",52289.0,81814.0,4937.0,362.0,9.0
106,"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-24,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,118041.0,125089.0,559.0,381.0,12.0
107,"
            
        Senior Data Scientist | Machine Learning
      
          ","
            Ramp
          ","
            New York, NY
          ","
         Actively Hiring
      ",2023-03-16,,"
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",178234.0,205416.0,3982.0,478.0,2.0
108,"
            
        Data Analytics - PAN India, Remote Opportunity
      
          ","
            PeopleDecode
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-21,"
            Associate
          ","
            Other
          ","
          Full-time
        ",,50014.0,85817.0,3888.0,365.0,12.0
109,Apparel Graphic Designer/Illustrator,Viralstyle,"Tampa, FL",Be an early applicant,2023-04-03,Associate,"Consulting, Art/Creative, and Design",Contract,Advertising Services,149933.0,196181.0,2943.0,94.0,9.0
110,Copywriter,INFUSEmedia,"Bucharest, Bucharest, Romania",Actively Hiring,2023-04-25,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",,227959.0,948.0,280.0,8.0
111,Content Writer,Vegam Solutions,"Bengaluru North, Karnataka, India",Be an early applicant,2023-02-23,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Information Technology & Services,75080.0,114065.0,3243.0,361.0,13.0
112,"
            
        Content Writer
      
          ","
            eGov Foundation
          ","
            Bengaluru, Karnataka, India
          ",Be an early applicant,2023-02-16,"
            Associate
          ","
            Public Relations, Writing/Editing, and Marketing
          ","
          Full-time
        ","
          Software Development and Non-profit Organizations
          ",58698.0,76907.0,3706.0,343.0,11.0
113,FT Virtual Assistant (Work From Home),Growth Cave,"Lafayette, IN",Be an early applicant,2023-04-08,Entry level,Administrative,Full-time,Advertising Services,164235.0,171192.0,3981.0,396.0,4.0
